place,catu,grav,sexe,secu1,senc,catv,obs,obsm,choc,manv,motor,catr,circ,nbv,vosp,prof,plan,surf,infra,situ,vma,hrmn,lum,atm,col,lat,long,we,age,agg_1,agg_2,int_1,int_2,int_3,int_4,int_5,int_6,int_7,int_8,int_9
1.0,1.0,2.0,1.0,1.0,1,7,4,0,3,14,1,3,3,4,0,2,3,1,3,1,70,16,2,8,6,48.97795,2.46295,False,21.0,True,False,True,False,False,False,False,False,False,False,False
1.0,1.0,1.0,0.0,1.0,2,7,16,0,4,15,1,3,2,2,0,1,1,1,0,1,70,10,1,1,2,47.533978,1.829385,False,67.0,True,False,True,False,False,False,False,False,False,False,False
2.0,2.0,2.0,0.0,1.0,1,7,0,2,0,0,1,1,3,4,0,1,1,1,0,1,90,18,1,1,5,45.7926,4.91656,True,9.0,True,False,True,False,False,False,False,False,False,False,False
1.0,1.0,1.0,0.0,1.0,2,7,0,2,1,2,1,1,3,5,0,1,1,1,0,1,130,20,1,1,2,46.688309,4.844756,True,25.0,True,False,True,False,False,False,False,False,False,False,False
1.0,1.0,2.0,0.0,2.0,1,33,0,2,4,16,1,3,4,1,0,1,3,1,5,1,50,18,1,1,3,47.99463,-4.0731,False,24.0,False,True,False,False,False,False,False,True,False,False,False
1.0,1.0,2.0,1.0,8.0,3,1,0,2,8,1,5,4,1,3,1,1,1,1,0,5,30,11,1,1,3,48.883873,2.368606,False,62.0,False,True,False,False,False,False,False,False,True,False,False
1.0,1.0,2.0,1.0,1.0,0,7,0,2,1,0,0,4,2,2,0,2,1,2,0,1,50,22,3,1,3,43.64,6.94,False,28.0,False,True,False,False,True,False,False,False,False,False,False
10.0,3.0,2.0,1.0,0.0,1,7,0,1,1,1,1,4,2,2,0,1,1,1,0,1,50,18,1,1,6,48.92793,2.28827,True,69.0,False,True,False,False,True,False,False,False,False,False,False
10.0,3.0,2.0,1.0,8.0,3,7,1,1,2,1,0,4,2,2,0,2,1,1,0,1,50,8,1,1,6,48.73081877,2.45912641,False,6.0,False,True,True,False,False,False,False,False,False,False,False
1.0,1.0,2.0,1.0,2.0,2,80,0,2,7,19,3,4,2,4,1,1,1,2,0,5,50,19,3,3,3,48.580408,7.777556,True,38.0,False,True,False,False,True,False,False,False,False,False,False
1.0,1.0,2.0,0.0,1.0,3,7,0,2,2,1,1,4,2,0,0,1,1,1,0,1,50,12,1,1,3,48.78978,2.39919,True,37.0,False,True,False,True,False,False,False,False,False,False,False
1.0,1.0,1.0,0.0,1.0,3,10,0,2,3,1,1,4,1,4,0,1,1,1,0,1,70,10,1,1,5,48.900701,2.334452,False,61.0,False,True,True,False,False,False,False,False,False,False,False
